,광역시도명,시군구명,계절성,요일성,성별 편향,30대 이하,30 - 50대,50대 이상,소계(남녀합계)/sum/mean,소멸지수
0,강원도,화천군,9.425000000000011,0.0,45.52,211.81,225.75,344.5900000000001,1187.52,0.5579999999999999
1,강원도,횡성군,0.5349999999999966,-0.030000000000000027,33.84,266.7,312.38,487.78,1611.0,0.7979999999999999
2,강원도,철원군,-2.0149999999999864,-0.010000000000000007,31.91,196.62,191.9,291.36,1031.81,0.8320000000000001
3,강원도,강릉시,-4.765000000000015,-0.059999999999999824,13.509999999999993,253.45,260.93,337.66,1292.13,1.046
4,강원도,고성군,7.355000000000018,-0.07999999999999996,36.41,245.63,276.25,363.99,1339.71,0.46799999999999997
5,강원도,정선군,3.3700000000000045,-0.020000000000000014,23.379999999999995,150.46,167.41,278.04,903.88,0.606
6,강원도,평창군,-12.339999999999973,-0.07999999999999996,34.21000000000001,360.2000000000001,398.51,562.1,1993.87,0.628
7,강원도,양구군,9.265000000000015,0.0,33.370000000000005,194.68,193.44,309.8,1055.93,0.64
8,강원도,동해시,-12.664999999999992,-0.030000000000000027,15.879999999999995,187.19,190.97,250.96,955.67,0.862
9,강원도,속초시,-6.2299999999999605,-0.44,7.130000000000024,262.22,265.45,322.82,1284.43,0.897
10,강원도,춘천시,-23.554999999999946,0.040000000000000036,13.349999999999996,298.4,300.78,357.53,1446.51,1.115
11,강원도,홍천군,9.930000000000009,-0.040000000000000036,41.03,302.62,356.31,501.31,1750.02,0.932
12,강원도,삼척시,-4.844999999999999,-0.010000000000000007,22.840000000000003,164.7,181.63,265.87,928.88,0.6970000000000001
13,강원도,영월군,4.344999999999999,0.0,28.39,163.01,188.87,328.5900000000001,1029.22,0.716
14,강원도,태백시,-1.6800000000000068,0.039999999999999925,15.230000000000004,118.89,126.92,196.88,672.49,0.7190000000000001
15,강원도,인제군,12.069999999999993,-0.04999999999999999,46.72,289.37,321.06,427.78,1567.16,0.7240000000000001
16,강원도,양양군,17.360000000000017,-0.12,22.450000000000014,278.69,315.54,410.72,1519.51,0.741
17,강원도,원주시,-27.565,0.05000000000000005,15.619999999999974,347.92,356.26,418.67,1695.27,1.187
0,광주광역시,광산구,0.3799999999999386,17.379999999999995,23.939999999999966,544.9300000000002,571.9300000000002,461.15,7387.12,1.239
1,광주광역시,남구,0.9799999999999898,7.579999999999983,-16.0,275.5,267.38,294.29,4022.63,1.054
2,광주광역시,동구,5.454999999999997,9.200000000000003,-7.980000000000004,220.75,227.17,259.2,3500.88,1.232
3,광주광역시,북구,-0.5849999999999795,10.5,-2.5300000000000007,372.87,414.27,441.22,5928.68,1.178
4,광주광역시,서구,-3.3450000000000277,8.530000000000001,-1.1200000000000043,370.46,459.5,461.47,6275.98,1.094
5,대구광역시,남구,30.395,8.620000000000005,-15.149999999999993,167.92000000000004,209.65,306.01,3413.37,1.025
6,대구광역시,달서구,20.504999999999995,15.209999999999981,-8.490000000000009,467.9,480.84,573.6500000000002,7294.38,1.258
7,대구광역시,달성군,26.745000000000005,19.970000000000027,34.410000000000025,515.53,691.77,619.9000000000002,8434.55,1.297
8,대구광역시,동구,19.664999999999992,-0.09000000000000341,-5.819999999999991,246.84,314.99,379.98,4561.36,1.164
9,대구광역시,북구,12.719999999999972,9.920000000000016,0.5400000000000205,355.63,367.03,446.47,5623.86,1.238
10,대구광역시,서구,100.515,9.349999999999994,5.039999999999992,175.12,250.25,404.16,4085.12,0.926
11,대구광역시,수성구,15.130000000000026,4.310000000000001,-15.409999999999995,347.88,323.91,402.72,5185.77,1.036
12,대구광역시,중구,155.115,8.060000000000002,-24.819999999999997,296.51,384.63,440.24,5576.2,1.044
13,대전광역시,대덕구,-1.9450000000000216,16.5,40.31999999999999,325.72,444.78,534.05,6282.66,1.262
14,대전광역시,동구,-2.300000000000012,2.3100000000000023,0.25,362.01,358.26,457.02,5727.8,0.975
15,대전광역시,서구,12.899999999999974,12.330000000000013,-11.910000000000027,482.61,549.71,510.63,7409.21,1.233
16,대전광역시,유성구,1.2399999999999525,40.80000000000001,61.22000000000003,859.05,1100.0,851.6400000000001,13201.45,1.2919999999999998
17,대전광역시,중구,-3.300000000000012,3.7600000000000193,-14.849999999999996,291.03,312.05,388.15,4871.11,1.008
18,부산광역시,강서구,0.4900000000000091,49.46000000000001,111.98,370.21,745.99,542.14,7456.98,1.536
19,부산광역시,금정구,-9.849999999999994,6.810000000000002,-9.210000000000008,241.54,251.91,352.89,4155.1,0.998
20,부산광역시,기장군,18.694999999999997,-28.30999999999995,12.709999999999981,661.96,886.1800000000002,813.84,11000.31,1.005
21,부산광역시,남구,-4.254999999999996,10.480000000000018,-5.3300000000000125,277.61,266.46,342.87,4330.62,0.99
22,부산광역시,동구,2.644999999999982,10.03,-3.3700000000000045,102.81,177.54,239.01,2566.0,1.017
23,부산광역시,동래구,-7.135000000000019,7.620000000000003,-25.129999999999995,388.69000000000005,422.98,498.15,6292.53,1.063
24,부산광역시,부산진구,7.329999999999983,8.780000000000001,-21.340000000000003,313.68,409.49,455.41,5801.39,0.971
25,부산광역시,북구,-14.740000000000007,1.7699999999999818,-21.319999999999997,308.5,350.25,468.14,5424.13,0.963
26,부산광역시,사상구,-11.52000000000001,24.170000000000016,21.519999999999985,254.82,372.46,496.67,5446.92,1.12
27,부산광역시,사하구,-2.9099999999999966,12.430000000000007,-1.9200000000000157,273.84000000000003,326.9,436.54,4994.71,0.942
28,부산광역시,서구,-0.1599999999999966,6.700000000000002,-9.059999999999988,107.39,129.52,206.98,2211.15,0.636
29,부산광역시,수영구,6.360000000000013,-6.510000000000019,-25.929999999999982,266.02,369.6,403.28,5130.26,0.925
30,부산광역시,연제구,-8.814999999999998,14.050000000000011,-18.230000000000018,262.38,351.68,417.87,4988.11,1.162
31,부산광역시,영도구,-0.75,3.5,-2.0,126.68,149.73,261.79,2677.34,0.5489999999999999
32,부산광역시,중구,5.289999999999992,-0.35999999999999943,-5.329999999999998,93.53,155.68,219.03,2363.09,1.374
33,부산광역시,해운대구,8.884999999999991,-6.189999999999998,-24.359999999999985,391.13,468.08,507.88,6557.39,1.142
34,서울특별시,강남구,83.09000000000003,65.72,12.769999999999984,419.0,704.14,549.62,8018.33,1.765
35,서울특별시,강동구,14.60499999999999,6.819999999999991,-3.3600000000000136,278.35,363.19,393.76,4939.21,1.1840000000000002
36,서울특별시,강북구,1.75,1.4900000000000089,-17.72,215.82,251.85,365.06,4115.29,0.992
37,서울특별시,강서구,114.515,22.26000000000002,-2.5,350.4,574.08,522.01,6924.88,1.128
38,서울특별시,관악구,59.15000000000001,4.769999999999982,-1.1299999999999957,223.47,340.66,328.79,4501.9,1.144
39,서울특별시,광진구,13.045000000000016,10.390000000000015,-4.700000000000017,271.95,359.19,357.18,4820.6,1.153
40,서울특별시,구로구,34.17500000000001,27.139999999999986,-1.0999999999999943,318.98,497.56,506.7000000000001,6394.44,1.409
41,서울특별시,금천구,19.03,30.16,20.56,255.26,472.51,478.44,5869.04,1.808
42,서울특별시,노원구,1.6949999999999932,5.490000000000008,-21.789999999999992,366.74,335.48,446.48,5559.73,1.112
43,서울특별시,도봉구,-5.545000000000017,0.9099999999999966,-16.47,211.31,237.52,359.75,3985.23,1.068
44,서울특별시,동대문구,-0.1949999999999932,17.97999999999999,-5.650000000000006,287.26,365.77,448.94,5424.31,1.133
45,서울특별시,동작구,12.455000000000013,11.740000000000007,-7.689999999999998,299.11,400.81,413.24,5483.71,0.959
46,서울특별시,마포구,23.324999999999992,10.97999999999999,-5.110000000000014,326.78,480.61,389.1,5806.72,1.534
47,서울특별시,서대문구,7.335000000000008,15.53,-17.80000000000001,277.87,332.23,373.56,4821.77,1.12
48,서울특별시,서초구,52.27500000000003,45.47999999999999,10.189999999999998,401.69,622.01,554.87,7605.82,1.6869999999999998
49,서울특별시,성동구,16.695000000000018,21.600000000000023,3.119999999999976,220.27,355.24,329.76,4364.44,1.222
50,서울특별시,성북구,1.125,8.799999999999983,-14.680000000000007,278.26,293.85,338.67,4413.74,1.044
51,서울특별시,송파구,21.504999999999995,14.22999999999999,-2.9299999999999784,337.98,467.43,433.12,5880.27,1.328
52,서울특별시,양천구,40.37000000000001,5.740000000000008,-10.689999999999998,347.36,359.5499999999999,408.02,5352.13,1.189
53,서울특별시,영등포구,63.685,30.81,14.140000000000017,312.34,601.62,515.11,6886.59,1.4880000000000002
54,서울특별시,용산구,12.345000000000026,10.590000000000003,10.22999999999999,187.83,353.38,318.76,4159.83,1.1740000000000002
55,서울특별시,은평구,2.0300000000000007,3.2100000000000084,-23.949999999999992,292.43,352.2999999999999,430.46,5228.91,1.12
56,서울특별시,종로구,22.0,24.44,2.6299999999999955,165.22,284.72,302.31,3718.24,1.208
57,서울특별시,중구,14.140000000000017,43.62000000000001,12.810000000000002,144.18,352.15,316.27,3950.35,1.487
58,서울특별시,중랑구,-3.4800000000000177,4.099999999999993,-11.889999999999983,254.38,342.3,429.52,4976.57,1.133
59,울산광역시,남구,-7.875,20.47999999999999,26.960000000000036,408.56,515.6,539.98,6922.85,1.132
60,울산광역시,동구,-2.1599999999999966,18.19,38.96000000000001,287.75,388.13,368.91,4810.21,0.537
61,울산광역시,북구,-5.160000000000026,25.470000000000034,59.31,563.99,715.02,612.25,8573.79,1.022
62,울산광역시,울주군,7.96999999999997,6.849999999999994,56.97999999999999,296.5499999999999,410.06,496.38,5683.99,1.123
63,울산광역시,중구,-7.154999999999973,2.9499999999999886,-8.680000000000009,257.01,282.04,355.05,4263.74,0.977
64,인천광역시,강화군,7.38000000000001,-14.380000000000004,-1.1200000000000043,60.04,75.72,168.54,1532.71,0.7490000000000001
65,인천광역시,계양구,0.2949999999999875,2.9099999999999966,8.590000000000002,271.22,347.85,441.67,5059.7,1.235
66,인천광역시,남동구,4.740000000000009,11.22,8.569999999999991,349.17,454.07000000000005,490.37,6146.59,1.398
67,인천광역시,동구,-1.8900000000000008,6.200000000000002,7.8900000000000015,58.84,79.02000000000002,110.33,1196.67,1.136
68,인천광역시,미추홀구,4.939999999999999,6.229999999999991,4.1200000000000045,238.56,297.4,324.44,4121.14,1.139
69,인천광역시,부평구,4.954999999999983,4.5,-0.5,262.09,342.5900000000001,384.32000000000005,4717.64,1.132
70,인천광역시,서구,6.4650000000000025,18.400000000000006,31.0,340.56,444.66,413.99,5558.38,1.311
71,인천광역시,연수구,2.380000000000024,10.480000000000018,12.790000000000019,442.52,501.54,419.18,6291.41,1.501
72,인천광역시,옹진군,6.945,-6.279999999999998,9.73,24.18,38.62000000000001,62.74,615.39,0.161
73,인천광역시,중구,27.285,-3.990000000000009,51.18000000000001,218.68,392.73,353.9,4548.94,1.596
